"site.collected","subsite","date.collected","species","subspecies","sex","A.melanized","B.hetero","C.west.col","D.postman"
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hybrid","m",0,1,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hybrid","m",0,1,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","f",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","f",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","apiario","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","apiario","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","apiario","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","UNK",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","IFAD","6.22.2015","erato","hydara","m",1,0,0,0
"IFAD","apiario","6.22.2015","erato","hydara","m",1,0,0,0
"cerro campana","","6.27.2015","erato","demophoon","f",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","f",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","m",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","m",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","m",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","m",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","f",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","m",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","m",0,0,0,1
"cerro campana","","6.27.2015","erato","demophoon","m",0,0,0,1
"IFAD","apiario","6.28.2015","erato","hydara","m",1,0,0,0
"IFAD","apiario","6.28.2015","erato","hydara","f",1,0,0,0
"IFAD","apiario","6.28.2015","erato","hydara","f",1,0,0,0
"IFAD","apiario","6.28.2015","erato","hydara","f",1,0,0,0
"IFAD","apiario","6.28.2015","erato","hydara","m",1,0,0,0
"IFAD","apiario","6.28.2015","erato","hydara","m",1,0,0,0
"IFAD","apiario","6.28.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","venus","f",0,0,1,0
"mangowichi","","6.21.2015","erato","hybrid","f",0,1,0,0
"mangowichi","","6.21.2015","erato","hydara","f",1,0,0,0
"mangowichi","","6.21.2015","erato","hybrid","m",0,1,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","hybrid","m",0,1,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","hybrid","m",0,1,0,0
"mangowichi","","6.21.2015","erato","hybrid","f",0,1,0,0
"mangowichi","","6.21.2015","erato","demophoon","m",0,0,0,1
"mangowichi","","6.21.2015","erato","demophoon","m",0,0,0,1
"mangowichi","","6.21.2015","erato","hydara","f",1,0,0,0
"mangowichi","","6.21.2015","erato","hydara","f",1,0,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.21.2015","erato","hydara","f",1,0,0,0
"mangowichi","","6.21.2015","erato","hybrid","m",0,1,0,0
"mangowichi","","6.21.2015","erato","hybrid","f",0,1,0,0
"mangowichi","","6.21.2015","erato","hybrid","f",0,1,0,0
"mangowichi","","6.21.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","demophoon","m",0,0,0,1
"casa pastoral","","6.22.2015","erato","hydara","f",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","f",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","f",1,0,0,0
"casa pastoral","","6.22.2015","erato","hybrid","m",0,1,0,0
"casa pastoral","","6.22.2015","erato","hydara","f",1,0,0,0
"casa pastoral","","6.22.2015","erato","hybrid","f",0,1,0,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","venus","UNK",0,0,1,0
"casa pastoral","","6.22.2015","erato","hydara","m",1,0,0,0
"casa pastoral","","6.22.2015","erato","hydara","UNK",1,0,0,0
"mangowichi","","6.28.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.28.2015","erato","hybrid","f",0,1,0,0
"mangowichi","","6.28.2015","erato","hydara","f",1,0,0,0
"mangowichi","","6.28.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.28.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.28.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.28.2015","erato","hydara","m",1,0,0,0
"mangowichi","","6.28.2015","erato","hybrid","f",0,1,0,0
"mangowichi","","6.28.2015","erato","hybrid","f",0,1,0,0
"mangowichi","","6.28.2015","erato","hydara","f",1,0,0,0
"mangowichi","","6.28.2015","erato","hybrid","f",0,1,0,0
